,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.75,25.73,33.00,26.93,26.60,"3,952,000","6,674,500",93,31,3.32,"71,769","238,375","369,617","197,600","283,543",1.69,28,20,"105,716,000",EU,"1,645,125","3,156,500","3,918,875","334,375","6,326,375",,"1,484,625","1,257,250","4,453,875","10,914,000","1,979,500","6,460,125","628,625","1,992,875","1,110,125","23,459,750","321,000","11,502,500","13,375","762,375","147,125","361,125","133,750","3,959,000","6,313,000",,"2,247,000","7,021,875","1,110,125","575,125","2,126,625"
21.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.12,26.50,33.00,27.65,27.18,"3,952,000","5,330,000",80,46,3.20,"66,625","213,200","300,635","188,190","296,256",1.35,25,21,"107,178,240",EU,"1,667,880","3,200,160","3,973,080","339,000","6,413,880",,"1,505,160","1,274,640","4,515,480","11,064,960","2,006,880","6,549,480","637,320","2,020,440","1,125,480","23,784,240","325,440","11,661,600","13,560","772,920","149,160","366,120","135,600","4,013,760","6,400,320",,"2,278,080","7,119,000","1,125,480","583,080","2,156,040"
18.09.2020,11:00,Auction 3. Period DE,T3PA,successful,28.36,26.99,35.00,28.67,28.41,"2,593,000","4,171,500",79,44,3.29,"52,804","173,813","273,547","129,650","171,312",1.61,24,20,"73,537,480",DE,,,,,,"73,537,480",,,,,,,,,,,,,,,,,,,,,,,,,
17.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.10,26.99,35.00,29.59,29.07,"3,952,000","6,195,500",98,48,3.63,"63,219","229,463","390,520","188,190","280,722",1.57,27,21,"115,003,200",EU,"1,789,650","3,433,800","4,263,150","363,750","6,882,150",,"1,615,050","1,367,700","4,845,150","11,872,800","2,153,400","7,027,650","683,850","2,167,950","1,207,650","25,520,700","349,200","12,513,000","14,550","829,350","160,050","392,850","145,500","4,306,800","6,867,600",,"2,444,400","7,638,750","1,207,650","625,650","2,313,450"
15.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.99,25.00,40.00,30.22,30.00,"3,952,000","5,691,500",95,52,3.39,"59,911","203,268","377,910","179,636","291,325",1.44,28,22,"118,520,480",EU,"1,844,385","3,538,820","4,393,535","374,875","7,092,635",,"1,664,445","1,409,530","4,993,335","12,235,920","2,219,260","7,242,585","704,765","2,234,255","1,244,585","26,301,230","359,880","12,895,700","14,995","854,715","164,945","404,865","149,950","4,438,520","7,077,640",,"2,519,160","7,872,375","1,244,585","644,785","2,384,205"
14.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,28.66,25.00,35.00,28.58,28.45,"3,952,000","7,069,500",100,23,3.23,"70,695","228,048","381,856","263,467","326,194",1.79,31,15,"113,264,320",EU,"1,762,590","3,381,880","4,198,690","358,250","6,778,090",,"1,590,630","1,347,020","4,771,890","11,693,280","2,120,840","6,921,390","673,510","2,135,170","1,189,390","25,134,820","343,920","12,323,800","14,330","816,810","157,630","386,910","143,300","4,241,680","6,763,760",,"2,407,440","7,523,250","1,189,390","616,190","2,278,470"
11.09.2020,11:00,Auction 3. Period DE,T3PA,successful,28.05,25.00,33.00,28.24,28.00,"2,593,000","4,600,000",83,33,2.77,"55,422","153,333","247,216","123,476","202,915",1.77,30,21,"72,733,650",DE,,,,,,"72,733,650",,,,,,,,,,,,,,,,,,,,,,,,,
10.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.46,25.00,32.00,27.37,27.22,"3,952,000","7,576,000",95,29,3.39,"79,747","270,571","478,150","219,556","317,756",1.92,28,18,"108,521,920",EU,"1,688,790","3,240,280","4,022,890","343,250","6,494,290",,"1,524,030","1,290,620","4,572,090","11,203,680","2,032,040","6,631,590","645,310","2,045,770","1,139,590","24,082,420","329,520","11,807,800","13,730","782,610","151,030","370,710","137,300","4,064,080","6,480,560",,"2,306,640","7,208,250","1,139,590","590,390","2,183,070"
09.09.2020,15:01,EUAA Auction CAP2-EU,EAA3,successful,26.02,24.80,27.00,26.05,26.07,"810,500","1,868,000",31,17,3.10,"60,258","186,800","226,053","101,313","81,322",2.30,10,8,"21,089,210",EU,"468,360","533,410","182,140","286,220","234,180",,"533,410","26,020","988,760","3,226,480","416,320","2,406,850","117,090","195,150","429,330",,"520,400","2,849,190",0,"52,040","52,040","104,080","117,090","728,560","4,956,810",,"572,440","312,240","715,550","26,020","39,030"
09.09.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,26.45,25.00,31.00,26.35,26.20,"6,398,500","11,583,500",119,32,3.97,"97,340","386,117","698,971","426,567","551,611",1.81,30,15,"169,240,325",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"169,240,325",,,,,
08.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.25,25.50,33.00,27.48,27.22,"3,952,000","5,937,000",91,45,3.25,"65,242","212,036","391,957","164,667","297,816",1.50,28,24,"107,692,000",EU,"1,675,875","3,215,500","3,992,125","340,625","6,444,625",,"1,512,375","1,280,750","4,537,125","11,118,000","2,016,500","6,580,875","640,375","2,030,125","1,130,875","23,898,250","327,000","11,717,500","13,625","776,625","149,875","367,875","136,250","4,033,000","6,431,000",,"2,289,000","7,153,125","1,130,875","585,875","2,166,375"
07.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.90,25.90,33.00,27.11,26.95,"3,952,000","6,105,000",94,55,3.62,"64,947","234,808","375,111","179,636","260,719",1.54,26,22,"106,308,800",EU,"1,654,350","3,174,200","3,940,850","336,250","6,361,850",,"1,492,950","1,264,300","4,478,850","10,975,200","1,990,600","6,496,350","632,150","2,004,050","1,116,350","23,591,300","322,800","11,567,000","13,450","766,650","147,950","363,150","134,500","3,981,200","6,348,400",,"2,259,600","7,061,250","1,116,350","578,350","2,138,550"
04.09.2020,11:00,Auction 3. Period DE,T3PA,successful,28.80,25.99,30.03,28.71,28.61,"2,593,000","5,063,500",83,29,3.46,"61,006","210,979","355,682","152,529","208,035",1.95,24,17,"74,678,400",DE,,,,,,"74,678,400",,,,,,,,,,,,,,,,,,,,,,,,,
01.09.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,28.28,26.50,30.00,28.28,28.25,"3,952,000","7,145,000",85,41,3.54,"84,059","297,708","550,803","208,000","326,976",1.81,24,19,"111,762,560",EU,"1,739,220","3,337,040","4,143,020","353,500","6,688,220",,"1,569,540","1,329,160","4,708,620","11,538,240","2,092,720","6,829,620","664,580","2,106,860","1,173,620","24,801,560","339,360","12,160,400","14,140","805,980","155,540","381,780","141,400","4,185,440","6,674,080",,"2,375,520","7,423,500","1,173,620","608,020","2,248,260"
28.08.2020,11:01,Auction 3. Period DE,T3PA,successful,29.50,25.99,31.03,29.55,29.46,"1,187,000","2,331,000",58,25,3.05,"40,190","122,684","146,304","91,308","104,974",1.96,19,13,"35,016,500",DE,,,,,,"35,016,500",,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,28.03,25.99,29.10,28.00,28.00,"1,901,000","3,857,000",68,30,3.24,"56,721","183,667","309,319","111,824","146,536",2.03,21,17,"53,285,030",EU,"560,600","1,793,920","2,354,520","784,840","2,578,760",,"910,975","84,090","1,317,410","5,914,330","1,177,260","3,419,660","630,675","1,135,215","658,705","12,291,155","896,960","5,143,505",0,"532,570","14,015","981,050","70,075","1,569,680","2,746,940",,"714,765","3,419,660","420,450","434,465","728,780"
26.08.2020,11:01,Auction 3. Period CAP2-PL,T3PA,successful,28.42,25.25,30.00,28.34,28.40,"2,668,500","5,007,500",71,32,3.94,"70,528","278,194","477,881","190,607","281,431",1.88,18,14,"75,838,770",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"75,838,770",,,,,
25.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.33,25.90,29.01,27.53,27.44,"1,797,000","2,813,000",66,42,3.30,"42,621","140,650","199,845","99,833","124,281",1.57,20,18,"49,112,010",EU,"724,245","1,407,495","1,817,445","163,980","2,910,645",,"655,920","573,930","2,022,420","4,905,735","860,895","2,842,320","286,965","915,555","491,940","11,984,205","136,650","5,083,380",0,"355,290","54,660","163,980","54,660","1,749,120","2,937,975",,"1,024,875","3,252,270","478,275","273,300","983,880"
24.08.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,26.60,25.99,29.00,26.57,26.50,"1,797,000","3,446,000",74,26,3.36,"46,568","156,636","227,418","119,800","177,629",1.92,22,15,"47,800,200",EU,"704,900","1,369,900","1,768,900","159,600","2,832,900",,"638,400","558,600","1,968,400","4,774,700","837,900","2,766,400","279,300","891,100","478,800","11,664,100","133,000","4,947,600",0,"345,800","53,200","159,600","53,200","1,702,400","2,859,500",,"997,500","3,165,400","465,500","266,000","957,600"
21.08.2020,11:00,Auction 3. Period DE,T3PA,successful,25.36,24.71,28.00,25.43,25.39,"1,181,500","3,094,000",67,35,3.35,"46,179","154,700","242,903","69,500","86,748",2.62,20,17,"29,962,840",DE,,,,,,"29,962,840",,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.70,24.00,28.00,25.69,25.65,"1,797,000","3,778,000",78,33,3.12,"48,436","151,120","275,882","85,571","138,055",2.10,25,21,"46,182,900",EU,"681,050","1,323,550","1,709,050","154,200","2,737,050",,"616,800","539,700","1,901,800","4,613,150","809,550","2,672,800","269,850","860,950","462,600","11,269,450","128,500","4,780,200",0,"334,100","51,400","154,200","51,400","1,644,800","2,762,750",,"963,750","3,058,300","449,750","257,000","925,200"
18.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.05,25.34,32.00,26.12,25.91,"1,797,000","4,303,500",84,31,3.50,"51,232","179,313","242,580","85,571","123,747",2.39,24,21,"46,811,850",EU,"690,325","1,341,575","1,732,325","156,300","2,774,325",,"625,200","547,050","1,927,700","4,675,975","820,575","2,709,200","273,525","872,675","468,900","11,422,925","130,250","4,845,300",0,"338,650","52,100","156,300","52,100","1,667,200","2,800,375",,"976,875","3,099,950","455,875","260,500","937,800"
17.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.42,24.88,31.00,25.64,25.42,"1,797,000","3,617,500",67,32,3.19,"53,993","172,262","234,665","119,800","149,242",2.01,21,15,"45,679,740",EU,"673,630","1,309,130","1,690,430","152,520","2,707,230",,"610,080","533,820","1,881,080","4,562,890","800,730","2,643,680","266,910","851,570","457,560","11,146,670","127,100","4,728,120",0,"330,460","50,840","152,520","50,840","1,626,880","2,732,650",,"953,250","3,024,980","444,850","254,200","915,120"
14.08.2020,11:00,Auction 3. Period DE,T3PA,successful,25.25,24.52,32.00,25.64,25.25,"1,181,500","2,265,000",57,27,3.17,"39,737","125,833","176,887","78,767","88,046",1.92,18,15,"29,832,875",DE,,,,,,"29,832,875",,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.94,25.10,33.00,26.01,25.75,"1,797,000","3,997,500",78,28,3.12,"51,250","159,900","239,703","89,850","97,729",2.22,25,20,"46,614,180",EU,"687,410","1,335,910","1,725,010","155,640","2,762,610",,"622,560","544,740","1,919,560","4,656,230","817,110","2,697,760","272,370","868,990","466,920","11,374,690","129,700","4,824,840",0,"337,220","51,880","155,640","51,880","1,660,160","2,788,550",,"972,750","3,086,860","453,950","259,400","933,840"
12.08.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,25.55,24.80,32.00,25.96,25.59,"2,666,000","4,574,000",80,46,3.20,"57,175","182,960","257,804","121,182","153,107",1.72,25,22,"68,116,300",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"68,116,300",,,,,
11.08.2020,11:02,Auction 3. Period CAP2-EU,T3PA,successful,26.71,26.22,31.00,27.05,26.75,"1,797,000","3,065,000",80,47,3.20,"38,313","122,600","185,200","85,571","117,202",1.71,25,21,"47,997,870",EU,"707,815","1,375,565","1,776,215","160,260","2,844,615",,"641,040","560,910","1,976,540","4,794,445","841,365","2,777,840","280,455","894,785","480,780","11,712,335","133,550","4,968,060",0,"347,230","53,420","160,260","53,420","1,709,440","2,871,325",,"1,001,625","3,178,490","467,425","267,100","961,560"
10.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.92,26.01,31.00,27.04,26.77,"1,797,000","4,055,500",84,30,3.50,"48,280","168,979","235,937","99,833","143,948",2.26,24,18,"48,375,240",EU,"713,380","1,386,380","1,790,180","161,520","2,866,980",,"646,080","565,320","1,992,080","4,832,140","847,980","2,799,680","282,660","901,820","484,560","11,804,420","134,600","5,007,120",0,"349,960","53,840","161,520","53,840","1,722,880","2,893,900",,"1,009,500","3,203,480","471,100","269,200","969,120"
07.08.2020,11:00,Auction 3. Period DE,T3PA,successful,26.16,25.37,27.00,26.12,26.10,"1,181,500","2,626,500",74,29,3.36,"35,493","119,386","146,059","78,767","95,629",2.22,22,15,"30,908,040",DE,,,,,,"30,908,040",,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,26.95,26.25,30.00,27.03,26.95,"1,797,000","3,896,000",91,47,3.37,"42,813","144,296","187,054","85,571","82,350",2.17,27,21,"48,429,150",EU,"714,175","1,387,925","1,792,175","161,700","2,870,175",,"646,800","565,950","1,994,300","4,837,525","848,925","2,802,800","282,975","902,825","485,100","11,817,575","134,750","5,012,700",0,"350,350","53,900","161,700","53,900","1,724,800","2,897,125",,"1,010,625","3,207,050","471,625","269,500","970,200"
04.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.95,15.85,27.50,25.79,25.90,"1,797,000","3,511,500",83,35,3.61,"42,307","152,674","195,206","99,833","108,054",1.95,23,18,"46,632,150",EU,"687,675","1,336,425","1,725,675","155,700","2,763,675",,"622,800","544,950","1,920,300","4,658,025","817,425","2,698,800","272,475","869,325","467,100","11,379,075","129,750","4,826,700",0,"337,350","51,900","155,700","51,900","1,660,800","2,789,625",,"973,125","3,088,050","454,125","259,500","934,200"
03.08.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.81,25.15,29.00,26.02,25.90,"1,797,000","3,131,500",69,47,3.63,"45,384","164,816","209,223","99,833","119,948",1.74,19,18,"46,380,570",EU,"683,965","1,329,215","1,716,365","154,860","2,748,765",,"619,440","542,010","1,909,940","4,632,895","813,015","2,684,240","271,005","864,635","464,580","11,317,685","129,050","4,800,660",0,"335,530","51,620","154,860","51,620","1,651,840","2,774,575",,"967,875","3,071,390","451,675","258,100","929,160"
31.07.2020,11:00,Auction 3. Period DE,T3PA,successful,26.30,25.41,34.00,26.58,26.10,"2,363,000","4,969,500",73,18,3.48,"68,075","236,643","320,467","196,917","262,211",2.10,21,12,"62,146,900",DE,,,,,,"62,146,900",,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.34,24.51,27.00,25.48,25.39,"3,594,000","5,038,000",70,39,3.18,"71,971","229,000","295,211","199,667","238,507",1.40,22,18,"91,071,960",EU,"1,343,020","2,622,690","3,370,220","278,740","5,397,420",,"1,203,650","1,076,950","3,750,320","9,097,060","1,609,090","5,270,720","532,140","1,685,110","899,570","22,223,180","266,070","9,426,480",0,"646,170","126,700","304,080","114,030","3,230,850","5,435,430",,"1,887,830","6,043,590","924,910","481,460","1,824,480"
29.07.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,25.96,24.91,34.00,25.97,25.61,"5,332,000","8,309,000",73,23,3.65,"113,822","415,450","522,086","444,333","486,247",1.56,20,12,"138,418,720",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"138,418,720",,,,,
28.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.03,24.35,35.00,25.58,25.00,"3,594,000","5,462,000",86,41,3.31,"63,512","210,077","307,377","171,143","230,768",1.52,26,21,"89,957,820",EU,"1,326,590","2,590,605","3,328,990","275,330","5,331,390",,"1,188,925","1,063,775","3,704,440","8,985,770","1,589,405","5,206,240","525,630","1,664,495","888,565","21,951,310","262,815","9,311,160",0,"638,265","125,150","300,360","112,635","3,191,325","5,368,935",,"1,864,735","5,969,655","913,595","475,570","1,802,160"
27.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.53,24.83,33.00,25.77,25.56,"3,594,000","5,213,500",77,41,3.50,"67,708","236,977","376,152","199,667","276,513",1.45,22,18,"91,754,820",EU,"1,353,090","2,642,355","3,395,490","280,830","5,437,890",,"1,212,675","1,085,025","3,778,440","9,165,270","1,621,155","5,310,240","536,130","1,697,745","906,315","22,389,810","268,065","9,497,160",0,"651,015","127,650","306,360","114,885","3,255,075","5,476,185",,"1,901,985","6,088,905","931,845","485,070","1,838,160"
24.07.2020,11:00,Auction 3. Period DE,T3PA,successful,26.57,25.55,30.00,26.54,26.41,"2,363,000","3,896,500",65,24,3.10,"59,946","185,548","312,928","181,769","337,916",1.65,21,13,"62,784,910",DE,,,,,,"62,784,910",,,,,,,,,,,,,,,,,,,,,,,,,
23.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.76,25.63,33.00,26.63,26.35,"3,594,000","7,379,500",85,17,3.15,"86,818","273,315","422,691","299,500","435,541",2.05,27,12,"96,175,440",EU,"1,418,280","2,769,660","3,559,080","294,360","5,699,880",,"1,271,100","1,137,300","3,960,480","9,606,840","1,699,260","5,566,080","561,960","1,779,540","949,980","23,468,520","280,980","9,954,720",0,"682,380","133,800","321,120","120,420","3,411,900","5,740,020",,"1,993,620","6,382,260","976,740","508,440","1,926,720"
21.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.34,25.71,29.00,26.54,26.38,"3,594,000","4,724,500",71,37,2.96,"66,542","196,854","267,432","179,700","265,748",1.31,24,20,"94,665,960",EU,"1,396,020","2,726,190","3,503,220","289,740","5,610,420",,"1,251,150","1,119,450","3,898,320","9,456,060","1,672,590","5,478,720","553,140","1,751,610","935,070","23,100,180","276,570","9,798,480",0,"671,670","131,700","316,080","118,530","3,358,350","5,649,930",,"1,962,330","6,282,090","961,410","500,460","1,896,480"
20.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.85,25.60,33.00,27.13,26.81,"3,594,000","5,513,500",78,34,3.90,"70,686","275,675","372,853","256,714","293,983",1.53,20,14,"96,498,900",EU,"1,423,050","2,778,975","3,571,050","295,350","5,719,050",,"1,275,375","1,141,125","3,973,800","9,639,150","1,704,975","5,584,800","563,850","1,785,525","953,175","23,547,450","281,925","9,988,200",0,"684,675","134,250","322,200","120,825","3,423,375","5,759,325",,"2,000,325","6,403,725","980,025","510,150","1,933,200"
17.07.2020,11:00,Auction 3. Period DE,T3PA,successful,26.85,20.00,35.00,26.59,26.34,"2,363,000","5,567,000",84,18,3.65,"66,274","242,043","299,288","181,769","226,134",2.36,23,13,"63,446,550",DE,,,,,,"63,446,550",,,,,,,,,,,,,,,,,,,,,,,,,
16.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,28.13,26.00,35.00,28.67,28.51,"3,594,000","4,475,500",75,66,3.41,"59,673","203,432","373,420","163,364","222,320",1.25,22,22,"101,099,220",EU,"1,490,890","2,911,455","3,741,290","309,430","5,991,690",,"1,336,175","1,195,525","4,163,240","10,098,670","1,786,255","5,851,040","590,730","1,870,645","998,615","24,670,010","295,365","10,464,360",0,"717,315","140,650","337,560","126,585","3,586,575","6,033,885",,"2,095,685","6,709,005","1,026,745","534,470","2,025,360"
15.07.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,29.81,27.00,35.00,30.26,30.02,"5,332,000","6,180,000",73,59,3.65,"84,658","309,000","491,912","280,632","409,785",1.16,20,19,"158,946,920",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"158,946,920",,,,,
14.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.20,27.00,35.00,29.33,28.96,"2,717,000","4,516,000",81,28,3.38,"55,753","188,167","299,531","150,944","212,601",1.66,24,18,"79,336,400",EU,"1,547,600","3,022,200","3,883,600","321,200","6,219,600",,"1,387,000","1,241,000","4,321,600","10,482,800","1,854,200","6,073,600","613,200","1,941,800","1,036,600",,"306,600","10,862,400",0,"744,600","146,000","350,400","131,400","3,723,000","6,263,400",,"2,175,400","6,964,200","1,065,800","554,800","2,102,400"
13.07.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,30.04,27.50,35.00,30.20,30.08,"2,717,000","3,719,500",66,37,3.30,"56,356","185,975","332,252","159,824","261,800",1.37,20,17,"81,618,680",EU,"1,592,120","3,109,140","3,995,320","330,440","6,398,520",,"1,426,900","1,276,700","4,445,920","10,784,360","1,907,540","6,248,320","630,840","1,997,660","1,066,420",,"315,420","11,174,880",0,"766,020","150,200","360,480","135,180","3,830,100","6,443,580",,"2,237,980","7,164,540","1,096,460","570,760","2,162,880"
10.07.2020,11:00,Auction 3. Period DE,T3PA,successful,27.66,26.00,33.00,28.05,27.71,"2,363,000","2,977,000",59,34,2.81,"50,458","141,762","197,691","139,000","206,213",1.26,21,17,"65,360,580",DE,,,,,,"65,360,580",,,,,,,,,,,,,,,,,,,,,,,,,
09.07.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,28.48,25.00,33.00,28.62,28.53,"2,717,000","3,226,500",59,38,3.11,"54,686","169,816","278,451","159,824","293,287",1.19,19,17,"77,380,160",EU,"1,509,440","2,947,680","3,787,840","313,280","6,066,240",,"1,352,800","1,210,400","4,215,040","10,224,320","1,808,480","5,923,840","598,080","1,893,920","1,011,040",,"299,040","10,594,560",0,"726,240","142,400","341,760","128,160","3,631,200","6,108,960",,"2,121,760","6,792,480","1,039,520","541,120","2,050,560"
07.07.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,29.34,25.00,33.00,29.38,29.26,"2,717,000","5,459,000",67,25,3.53,"81,478","287,316","487,750","194,071","296,376",2.01,19,14,"79,716,780",EU,"1,555,020","3,036,690","3,902,220","322,740","6,249,420",,"1,393,650","1,246,950","4,342,320","10,533,060","1,863,090","6,102,720","616,140","1,951,110","1,041,570",,"308,070","10,914,480",0,"748,170","146,700","352,080","132,030","3,740,850","6,293,430",,"2,185,830","6,997,590","1,070,910","557,460","2,112,480"
06.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,28.86,25.00,33.00,29.00,28.91,"2,717,000","4,590,500",57,31,3.17,"80,535","255,028","569,963","169,813","319,088",1.69,18,16,"78,412,620",EU,"1,529,580","2,987,010","3,838,380","317,460","6,147,180",,"1,370,850","1,226,550","4,271,280","10,360,740","1,832,610","6,002,880","606,060","1,919,190","1,024,530",,"303,030","10,735,920",0,"735,930","144,300","346,320","129,870","3,679,650","6,190,470",,"2,150,070","6,883,110","1,053,390","548,340","2,077,920"
03.07.2020,11:00,Auction 3. Period DE,T3PA,successful,27.00,25.00,30.00,27.02,26.77,"2,363,000","4,815,500",62,17,2.95,"77,669","229,310","262,378","196,917","251,573",2.04,21,12,"63,801,000",DE,,,,,,"63,801,000",,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.25,25.00,30.00,27.19,27.13,"2,717,000","5,065,000",60,19,2.86,"84,417","241,190","335,190","181,133","227,366",1.86,21,15,"74,038,250",EU,"1,444,250","2,820,375","3,624,250","299,750","5,804,250",,"1,294,375","1,158,125","4,033,000","9,782,750","1,730,375","5,668,000","572,250","1,812,125","967,375",,"286,125","10,137,000",0,"694,875","136,250","327,000","122,625","3,474,375","5,845,125",,"2,030,125","6,499,125","994,625","517,750","1,962,000"
01.07.2020,15:00,EUAA Auction CAP2-EU,EAA3,successful,27.10,25.35,27.26,26.61,26.73,"810,500","2,453,500",28,7,3.50,"87,625","306,688","259,914","202,625","219,071",3.03,8,4,"21,964,550",EU,"487,800","555,550","189,700","298,100","243,900",,"555,550","27,100","1,029,800","3,360,400","433,600","2,506,750","121,950","203,250","447,150",,"542,000","2,967,450",0,"54,200","54,200","108,400","121,950","758,800","5,162,550",,"596,200","325,200","745,250","27,100","40,650"
01.07.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,26.88,26.09,30.00,26.92,26.62,"5,332,000","9,905,000",67,20,3.53,"147,836","521,316","1,002,305","484,727","636,934",1.86,19,11,"143,324,160",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"143,324,160",,,,,
30.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.99,25.25,28.02,26.07,25.99,"2,717,000","4,550,000",74,37,3.36,"61,486","206,818","317,188","135,850","207,892",1.67,22,20,"70,614,830",EU,"1,377,470","2,689,965","3,456,670","285,890","5,535,870",,"1,234,525","1,104,575","3,846,520","9,330,410","1,650,365","5,405,920","545,790","1,728,335","922,645",,"272,895","9,668,280",0,"662,745","129,950","311,880","116,955","3,313,725","5,574,855",,"1,936,255","6,198,615","948,635","493,810","1,871,280"
29.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.74,24.22,30.00,24.98,24.70,"2,717,000","4,761,000",66,26,3.14,"72,136","226,714","266,016","194,071","225,610",1.75,21,14,"67,218,580",EU,"1,311,220","2,560,590","3,290,420","272,140","5,269,620",,"1,175,150","1,051,450","3,661,520","8,881,660","1,570,990","5,145,920","519,540","1,645,210","878,270",,"259,770","9,203,280",0,"630,870","123,700","296,880","111,330","3,154,350","5,306,730",,"1,843,130","5,900,490","903,010","470,060","1,781,280"
26.06.2020,11:00,Auction 3. Period DE,T3PA,successful,24.90,24.20,30.00,25.51,25.31,"2,363,000","2,750,500",39,36,2.60,"70,526","183,367","181,635","168,786","182,181",1.16,15,14,"58,838,700",DE,,,,,,"58,838,700",,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.15,24.21,30.00,25.30,24.99,"2,717,000","5,385,000",60,16,2.50,"89,750","224,375","310,753","209,000","245,422",1.98,24,13,"68,332,550",EU,"1,332,950","2,603,025","3,344,950","276,650","5,356,950",,"1,194,625","1,068,875","3,722,200","9,028,850","1,597,025","5,231,200","528,150","1,672,475","892,825",,"264,075","9,355,800",0,"641,325","125,750","301,800","113,175","3,206,625","5,394,675",,"1,873,675","5,998,275","917,975","477,850","1,810,800"
23.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.85,24.51,26.25,24.96,24.91,"2,717,000","3,337,000",49,32,2.58,"68,102","175,632","176,808","150,944","173,635",1.23,19,18,"67,517,450",EU,"1,317,050","2,571,975","3,305,050","273,350","5,293,050",,"1,180,375","1,056,125","3,677,800","8,921,150","1,577,975","5,168,800","521,850","1,652,525","882,175",,"260,925","9,244,200",0,"633,675","124,250","298,200","111,825","3,168,375","5,330,325",,"1,851,325","5,926,725","907,025","472,150","1,789,200"
22.06.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.15,23.04,26.00,24.16,23.98,"2,717,000","4,555,000",57,18,2.71,"79,912","216,905","246,120","226,417","173,762",1.68,21,12,"65,615,550",EU,"1,279,950","2,499,525","3,211,950","265,650","5,143,950",,"1,147,125","1,026,375","3,574,200","8,669,850","1,533,525","5,023,200","507,150","1,605,975","857,325",,"253,575","8,983,800",0,"615,825","120,750","289,800","108,675","3,079,125","5,180,175",,"1,799,175","5,759,775","881,475","458,850","1,738,800"
