,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.10.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,63.66,62.00,71.00,63.81,63.61,"2,515,500","3,759,500",76,37,3.45,"49,467","170,886","219,483","132,395","184,718",1.49,22,19,"160,136,730",EU,"2,259,930","3,883,260","6,716,130","604,770","4,201,560",,"2,132,610","1,973,460","7,830,180","19,002,510","3,023,850","10,917,690","859,410","445,620","986,730","20,307,540",0,"18,875,190",0,"668,430","31,830","477,450","35,235,810","222,810","6,684,300","1,273,200",,"3,946,920","2,864,700","1,623,330","1,018,560","2,068,950"
04.10.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,63.56,20.00,68.00,63.07,63.57,"2,515,500","3,721,500",74,38,3.52,"50,291","177,214","244,652","157,219","215,539",1.48,21,16,"159,885,180",EU,"2,256,380","3,877,160","6,705,580","603,820","4,194,960",,"2,129,260","1,970,360","7,817,880","18,972,660","3,019,100","10,900,540","858,060","444,920","985,180","20,275,640",0,"18,845,540",0,"667,380","31,780","476,700","35,180,460","222,460","6,673,800","1,271,200",,"3,940,720","2,860,200","1,620,780","1,016,960","2,065,700"
01.10.2021,11:00,Auction 4. Period DE,T3PA,successful,62.04,61.00,68.00,62.15,61.99,"1,805,000","3,180,500",64,27,3.20,"49,695","159,025","233,115","120,333","222,813",1.76,20,15,"111,982,200",DE,,,,,,"111,982,200",,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,61.37,59.00,68.00,61.65,61.53,"2,515,500","3,819,500",66,48,2.87,"57,871","166,065","253,126","114,341","223,461",1.52,23,22,"154,376,235",EU,"2,178,635","3,743,570","6,474,535","583,015","4,050,420",,"2,055,895","1,902,470","7,548,510","18,318,945","2,915,075","10,524,955","828,495","429,590","951,235","19,577,030",0,"18,196,205",0,"644,385","30,685","460,275","33,968,295","214,795","6,443,850","1,227,400",,"3,804,940","2,761,650","1,564,935","981,920","1,994,525"
29.09.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,61.83,60.00,70.00,62.43,62.33,"2,066,500","2,235,000",69,62,3.83,"32,391","124,167","190,313","121,559","192,907",1.08,18,17,"127,771,695",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,771,695",,,,,
28.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,65.00,60.00,70.01,65.20,64.99,"2,515,500","3,098,500",56,28,3.29,"55,330","182,265","282,133","193,500","279,116",1.23,17,13,"163,507,500",EU,"2,307,500","3,965,000","6,857,500","617,500","4,290,000",,"2,177,500","2,015,000","7,995,000","19,402,500","3,087,500","11,147,500","877,500","455,000","1,007,500","20,735,000",0,"19,272,500",0,"682,500","32,500","487,500","35,977,500","227,500","6,825,000","1,300,000",,"4,030,000","2,925,000","1,657,500","1,040,000","2,112,500"
27.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,64.00,62.00,70.00,64.39,64.23,"2,515,500","2,849,000",69,61,3.45,"41,290","142,450","238,692","132,395","243,443",1.13,20,19,"160,992,000",EU,"2,272,000","3,904,000","6,752,000","608,000","4,224,000",,"2,144,000","1,984,000","7,872,000","19,104,000","3,040,000","10,976,000","864,000","448,000","992,000","20,416,000",0,"18,976,000",0,"672,000","32,000","480,000","35,424,000","224,000","6,720,000","1,280,000",,"3,968,000","2,880,000","1,632,000","1,024,000","2,080,000"
24.09.2021,11:00,Auction 4. Period DE,T3PA,successful,61.24,60.00,66.00,61.41,61.06,"1,805,000","3,308,000",66,25,3.47,"50,121","174,105","248,875","138,846","196,651",1.83,19,13,"110,538,200",DE,,,,,,"110,538,200",,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.45,58.48,64.00,59.45,59.31,"2,515,500","3,922,000",80,27,3.33,"49,025","163,417","253,077","147,971","221,946",1.56,24,17,"149,546,475",EU,"2,110,475","3,626,450","6,271,975","564,775","3,923,700",,"1,991,575","1,842,950","7,312,350","17,745,825","2,823,875","10,195,675","802,575","416,150","921,475","18,964,550",0,"17,626,925",0,"624,225","29,725","445,875","32,905,575","208,075","6,242,250","1,189,000",,"3,685,900","2,675,250","1,515,975","951,200","1,932,125"
22.09.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,60.02,59.00,65.00,60.16,60.02,"2,066,500","3,708,000",76,34,3.62,"48,789","176,571","229,626","129,156","196,214",1.79,21,16,"124,031,330",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,031,330",,,,,
21.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,60.31,58.00,66.00,60.23,60.03,"2,515,500","5,281,000",112,27,4.67,"47,152","220,042","268,349","193,500","249,637",2.10,24,13,"151,709,805",EU,"2,141,005","3,678,910","6,362,705","572,945","3,980,460",,"2,020,385","1,869,610","7,418,130","18,002,535","2,864,725","10,343,165","814,185","422,170","934,805","19,238,890",0,"17,881,915",0,"633,255","30,155","452,325","33,381,585","211,085","6,332,550","1,206,200",,"3,739,220","2,713,950","1,537,905","964,960","1,960,075"
20.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,58.56,57.00,65.00,58.83,58.57,"2,524,000","4,125,500",81,42,3.12,"50,932","158,673","218,930","109,739","170,740",1.63,26,23,"147,805,440",EU,"2,078,880","3,572,160","6,178,080","556,320","3,864,960",,"1,961,760","1,815,360","7,202,880","17,480,160","2,781,600","10,043,040","790,560","409,920","907,680","18,680,640","439,200","17,363,040","58,560","614,880","29,280","439,200","32,412,960","204,960","6,148,800","1,171,200",,"3,630,720","2,635,200","1,493,280","936,960","1,903,200"
17.09.2021,11:00,Auction 4. Period DE,T3PA,successful,59.60,58.80,65.00,59.88,59.60,"1,805,000","2,550,500",67,34,3.19,"38,067","121,452","139,737","100,278","132,913",1.41,21,18,"107,578,000",DE,,,,,,"107,578,000",,,,,,,,,,,,,,,,,,,,,,,,,,
16.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,59.89,59.00,65.00,59.94,59.64,"2,515,500","3,911,000",78,25,3.39,"50,141","170,043","248,335","193,500","249,577",1.55,23,13,"150,653,295",EU,"2,126,095","3,653,290","6,318,395","568,955","3,952,740",,"2,006,315","1,856,590","7,366,470","17,877,165","2,844,775","10,271,135","808,515","419,230","928,295","19,104,910",0,"17,757,385",0,"628,845","29,945","449,175","33,149,115","209,615","6,288,450","1,197,800",,"3,713,180","2,695,050","1,527,195","958,240","1,946,425"
15.09.2021,15:00,EUAA Auction CAP3 EU,EAA3,successful,60.00,58.00,61.00,59.87,60.10,"614,500","1,044,500",33,21,4.71,"31,652","149,214","137,952","122,900","152,587",1.70,7,5,"36,870,000",EU,"960,000","1,320,000","450,000","330,000","480,000",,"1,170,000","120,000","2,370,000","6,750,000","960,000","5,130,000","360,000","450,000","870,000",,"420,000","5,580,000",0,"210,000","150,000","240,000",,"270,000","1,950,000","1,920,000",,"1,770,000","840,000","1,680,000","60,000","60,000"
15.09.2021,11:02,Auction 4. Period CAP3 PL,T3PA,successful,60.32,59.00,66.00,60.36,60.22,"2,066,500","3,627,500",73,27,3.32,"49,692","164,886","182,530","129,156","169,260",1.76,22,16,"124,651,280",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,651,280",,,,,
14.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,61.51,60.00,67.00,61.73,61.55,"2,515,500","3,808,500",69,39,3.45,"55,196","190,425","253,300","147,971","232,182",1.51,20,17,"154,728,405",EU,"2,183,605","3,752,110","6,489,305","584,345","4,059,660",,"2,060,585","1,906,810","7,565,730","18,360,735","2,921,725","10,548,965","830,385","430,570","953,405","19,621,690",0,"18,237,715",0,"645,855","30,755","461,325","34,045,785","215,285","6,458,550","1,230,200",,"3,813,620","2,767,950","1,568,505","984,160","1,999,075"
13.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,61.91,55.50,68.00,61.93,61.88,"2,515,500","3,506,500",86,40,4.10,"40,773","166,976","250,820","139,750","235,709",1.39,21,18,"155,734,605",EU,"2,197,805","3,776,510","6,531,505","588,145","4,086,060",,"2,073,985","1,919,210","7,614,930","18,480,135","2,940,725","10,617,565","835,785","433,370","959,605","19,749,290",0,"18,356,315",0,"650,055","30,955","464,325","34,267,185","216,685","6,500,550","1,238,200",,"3,838,420","2,785,950","1,578,705","990,560","2,012,075"
10.09.2021,11:00,Auction 4. Period DE,T3PA,successful,61.85,55.50,70.00,61.79,61.60,"1,805,000","3,300,500",67,17,3.05,"49,261","150,023","211,691","138,846","179,725",1.83,22,13,"111,639,250",DE,,,,,,"111,639,250",,,,,,,,,,,,,,,,,,,,,,,,,,
09.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,61.98,55.50,70.01,62.06,61.91,"2,515,500","4,100,500",85,32,3.86,"48,241","186,386","295,422","139,750","223,881",1.63,22,18,"155,910,690",EU,"2,200,290","3,780,780","6,538,890","588,810","4,090,680",,"2,076,330","1,921,380","7,623,540","18,501,030","2,944,050","10,629,570","836,730","433,860","960,690","19,771,620",0,"18,377,070",0,"650,790","30,990","464,850","34,305,930","216,930","6,507,900","1,239,600",,"3,842,760","2,789,100","1,580,490","991,680","2,014,350"
08.09.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,61.93,55.50,70.00,61.97,61.83,"2,066,500","3,857,000",87,31,4.58,"44,333","203,000","252,274","121,559","168,143",1.87,19,17,"127,978,345",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,978,345",,,,,
07.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,61.71,55.50,67.00,61.80,61.71,"2,515,500","3,626,000",81,40,4.26,"44,765","190,842","242,551","139,750","217,830",1.44,19,18,"155,231,505",EU,"2,190,705","3,764,310","6,510,405","586,245","4,072,860",,"2,067,285","1,913,010","7,590,330","18,420,435","2,931,225","10,583,265","833,085","431,970","956,505","19,685,490",0,"18,297,015",0,"647,955","30,855","462,825","34,156,485","215,985","6,479,550","1,234,200",,"3,826,020","2,776,950","1,573,605","987,360","2,005,575"
06.09.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,62.87,55.50,70.01,62.79,62.71,"2,515,500","5,087,500",85,28,4.25,"59,853","254,375","375,110","179,679","290,512",2.02,20,14,"158,149,485",EU,"2,231,885","3,835,070","6,632,785","597,265","4,149,420",,"2,106,145","1,948,970","7,733,010","18,766,695","2,986,325","10,782,205","848,745","440,090","974,485","20,055,530",0,"18,640,955",0,"660,135","31,435","471,525","34,798,545","220,045","6,601,350","1,257,400",,"3,897,940","2,829,150","1,603,185","1,005,920","2,043,275"
03.09.2021,11:00,Auction 4. Period DE,T3PA,successful,61.25,55.50,63.00,61.12,61.10,"1,805,000","3,267,500",77,25,3.21,"42,435","136,146","178,712","120,333","147,680",1.81,24,15,"110,556,250",DE,,,,,,"110,556,250",,,,,,,,,,,,,,,,,,,,,,,,,,
01.09.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,61.29,54.50,70.00,61.11,61.03,"2,066,500","4,214,000",82,24,3.57,"51,390","183,217","254,415","147,607","226,702",2.04,23,14,"126,655,785",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,655,785",,,,,
31.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,60.11,54.50,70.00,60.32,60.11,"1,759,500","3,321,500",83,41,3.61,"40,018","144,413","211,086","79,977","121,325",1.89,23,22,"105,763,545",EU,"1,743,190","2,224,070","2,704,950","1,983,630","2,915,335",,"1,893,465","691,265","5,109,350","11,300,680","1,803,300","8,235,070","1,622,970","2,524,620","1,202,200","9,557,490","841,540","12,382,660",0,"1,923,520","390,715","2,314,235","16,590,360","1,713,135","5,259,625","1,382,530",,"1,172,145","2,374,345","1,382,530","1,172,145","1,352,475"
27.08.2021,11:00,Auction 4. Period DE,T3PA,successful,57.51,54.70,63.00,57.75,57.56,"1,328,500","1,937,000",55,35,3.06,"35,218","107,611","216,572","83,031","176,907",1.46,18,16,"76,402,035",DE,,,,,,"76,402,035",,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.61,54.50,62.00,55.89,55.59,"1,644,500","3,116,500",82,38,3.42,"38,006","129,854","222,565","91,361","169,377",1.90,24,18,"91,450,645",EU,"1,473,665","2,530,255","3,781,480","333,660","2,975,135",,"1,362,445","1,140,005","4,671,240","11,483,465","1,918,545","6,840,030","500,490","1,946,350","722,930","8,841,990","27,805","11,844,930",0,"389,270","27,805","278,050","15,348,360","139,025","4,198,555","834,150",,"2,391,230","2,530,255","1,000,980","611,710","1,306,835"
25.08.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,56.63,46.41,62.00,56.51,56.60,"1,300,500","3,291,000",80,34,3.64,"41,138","149,591","237,381","81,281","162,618",2.53,22,16,"73,647,315",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,647,315",,,,,
24.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.72,54.50,61.00,55.95,55.72,"1,644,500","2,649,500",76,38,3.80,"34,862","132,475","216,596","109,633","207,428",1.61,20,15,"91,631,540",EU,"1,476,580","2,535,260","3,788,960","334,320","2,981,020",,"1,365,140","1,142,260","4,680,480","11,506,180","1,922,340","6,853,560","501,480","1,950,200","724,360","8,859,480","27,860","11,868,360",0,"390,040","27,860","278,600","15,378,720","139,300","4,206,860","835,800",,"2,395,960","2,535,260","1,002,960","612,920","1,309,420"
23.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.95,54.00,61.00,56.05,55.98,"1,644,500","3,130,500",75,45,3.26,"41,740","136,109","188,731","91,361","155,022",1.90,23,18,"92,009,775",EU,"1,482,675","2,545,725","3,804,600","335,700","2,993,325",,"1,370,775","1,146,975","4,699,800","11,553,675","1,930,275","6,881,850","503,550","1,958,250","727,350","8,896,050","27,975","11,917,350",0,"391,650","27,975","279,750","15,442,200","139,875","4,224,225","839,250",,"2,405,850","2,545,725","1,007,100","615,450","1,314,825"
20.08.2021,11:00,Auction 4. Period DE,T3PA,successful,54.40,53.00,60.00,54.47,54.22,"1,325,500","2,999,000",61,21,2.90,"49,164","142,810","229,178","88,367","195,517",2.26,21,15,"72,107,200",DE,,,,,,"72,107,200",,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,55.81,53.00,61.00,55.97,55.79,"1,644,500","3,135,500",80,40,3.48,"39,194","136,326","201,316","82,225","105,698",1.91,23,20,"91,779,545",EU,"1,478,965","2,539,355","3,795,080","334,860","2,985,835",,"1,367,345","1,144,105","4,688,040","11,524,765","1,925,445","6,864,630","502,290","1,953,350","725,530","8,873,790","27,905","11,887,530",0,"390,670","27,905","279,050","15,403,560","139,525","4,213,655","837,150",,"2,399,830","2,539,355","1,004,580","613,910","1,311,535"
18.08.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,57.70,46.71,62.00,57.19,57.27,"1,287,500","2,927,000",82,14,3.73,"35,695","133,045","228,308","160,938","274,991",2.27,22,8,"74,288,750",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,288,750",,,,,
17.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.40,55.00,62.00,57.44,57.33,"1,644,500","3,481,000",85,32,3.70,"40,953","151,348","228,480","91,361","184,758",2.12,23,18,"94,394,300",EU,"1,521,100","2,611,700","3,903,200","344,400","3,070,900",,"1,406,300","1,176,700","4,821,600","11,853,100","1,980,300","7,060,200","516,600","2,009,000","746,200","9,126,600","28,700","12,226,200",0,"401,800","28,700","287,000","15,842,400","143,500","4,333,700","861,000",,"2,468,200","2,611,700","1,033,200","631,400","1,348,900"
16.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.18,55.00,62.00,57.27,57.13,"1,644,500","2,569,000",70,29,3.50,"36,700","128,450","234,103","117,464","237,292",1.56,20,14,"94,032,510",EU,"1,515,270","2,601,690","3,888,240","343,080","3,059,130",,"1,400,910","1,172,190","4,803,120","11,807,670","1,972,710","7,033,140","514,620","2,001,300","743,340","9,091,620","28,590","12,179,340",0,"400,260","28,590","285,900","15,781,680","142,950","4,317,090","857,700",,"2,458,740","2,601,690","1,029,240","628,980","1,343,730"
13.08.2021,11:00,Auction 4. Period DE,T3PA,successful,55.60,48.00,61.00,55.40,55.50,"1,325,500","3,612,500",60,21,2.73,"60,208","164,205","279,925","82,844","130,633",2.73,22,16,"73,697,800",DE,,,,,,"73,697,800",,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.36,55.00,63.00,57.40,57.36,"1,644,500","3,019,000",69,35,2.76,"43,754","120,760","154,205","82,225","115,252",1.84,25,20,"94,328,520",EU,"1,520,040","2,609,880","3,900,480","344,160","3,068,760",,"1,405,320","1,175,880","4,818,240","11,844,840","1,978,920","7,055,280","516,240","2,007,600","745,680","9,120,240","28,680","12,217,680",0,"401,520","28,680","286,800","15,831,360","143,400","4,330,680","860,400",,"2,466,480","2,609,880","1,032,480","630,960","1,347,960"
11.08.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,56.69,55.00,62.00,56.81,56.66,"1,287,500","2,917,000",68,31,3.09,"42,897","132,591","193,552","80,469","136,746",2.27,22,16,"72,988,375",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,988,375",,,,,
10.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,57.10,55.00,63.00,57.21,57.03,"1,644,500","3,537,500",70,31,3.33,"50,536","168,452","202,144","96,735","160,960",2.15,21,17,"93,900,950",EU,"1,513,150","2,598,050","3,882,800","342,600","3,054,850",,"1,398,950","1,170,550","4,796,400","11,791,150","1,969,950","7,023,300","513,900","1,998,500","742,300","9,078,900","28,550","12,162,300",0,"399,700","28,550","285,500","15,759,600","142,750","4,311,050","856,500",,"2,455,300","2,598,050","1,027,800","628,100","1,341,850"
09.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,56.00,50.00,63.00,55.80,55.90,"1,644,500","4,329,000",80,35,3.33,"54,113","180,375","318,299","86,553","134,352",2.63,24,19,"92,092,000",EU,"1,484,000","2,548,000","3,808,000","336,000","2,996,000",,"1,372,000","1,148,000","4,704,000","11,564,000","1,932,000","6,888,000","504,000","1,960,000","728,000","8,904,000","28,000","11,928,000",0,"392,000","28,000","280,000","15,456,000","140,000","4,228,000","840,000",,"2,408,000","2,548,000","1,008,000","616,000","1,316,000"
06.08.2021,11:00,Auction 4. Period DE,T3PA,successful,56.72,54.00,61.00,56.79,56.54,"1,325,500","2,961,000",65,20,3.61,"45,554","164,500","261,561","110,458","298,984",2.23,18,12,"75,182,360",DE,,,,,,"75,182,360",,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,54.84,49.00,60.00,54.82,54.71,"1,644,500","3,904,500",83,25,3.77,"47,042","177,477","237,355","102,781","175,356",2.37,22,16,"90,184,380",EU,"1,453,260","2,495,220","3,729,120","329,040","2,933,940",,"1,343,580","1,124,220","4,606,560","11,324,460","1,891,980","6,745,320","493,560","1,919,400","712,920","8,719,560","27,420","11,680,920",0,"383,880","27,420","274,200","15,135,840","137,100","4,140,420","822,600",,"2,358,120","2,495,220","987,120","603,240","1,288,740"
04.08.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,55.00,50.00,60.01,54.48,54.40,"1,287,500","4,650,000",72,6,3.13,"64,583","202,174","373,218","257,500","373,256",3.61,23,5,"70,812,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,812,500",,,,,
03.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,54.17,50.00,60.00,54.08,54.01,"1,644,500","5,322,500",71,21,3.74,"74,965","280,132","483,242","149,500","282,858",3.24,19,11,"89,082,565",EU,"1,435,505","2,464,735","3,683,560","325,020","2,898,095",,"1,327,165","1,110,485","4,550,280","11,186,105","1,868,865","6,662,910","487,530","1,895,950","704,210","8,613,030","27,085","11,538,210",0,"379,190","27,085","270,850","14,950,920","135,425","4,089,835","812,550",,"2,329,310","2,464,735","975,060","595,870","1,272,995"
02.08.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,54.60,49.00,59.99,54.70,54.52,"1,644,500","2,971,500",69,24,3.83,"43,065","165,083","260,758","126,500","268,618",1.81,18,13,"89,789,700",EU,"1,446,900","2,484,300","3,712,800","327,600","2,921,100",,"1,337,700","1,119,300","4,586,400","11,274,900","1,883,700","6,715,800","491,400","1,911,000","709,800","8,681,400","27,300","11,629,800",0,"382,200","27,300","273,000","15,069,600","136,500","4,122,300","819,000",,"2,347,800","2,484,300","982,800","600,600","1,283,100"
30.07.2021,11:00,Auction 4. Period DE,T3PA,successful,53.00,52.00,59.00,53.35,52.99,"2,651,000","4,045,000",74,37,3.36,"54,662","183,864","297,889","147,278","317,254",1.53,22,18,"140,503,000",DE,,,,,,"140,503,000",,,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,54.02,53.51,59.00,54.20,54.01,"3,288,500","4,752,500",81,39,3.68,"58,673","216,023","337,862","164,425","288,013",1.45,22,20,"177,644,770",EU,"2,863,060","4,915,820","7,373,730","675,250","5,780,140",,"2,673,990","2,214,820","9,075,360","22,256,240","3,754,390","13,288,920","999,370","3,781,400","1,404,520","17,205,370","27,010","22,958,500",0,"756,280","81,030","513,190","29,846,050","243,090","8,130,010","1,620,600",,"4,591,700","4,942,830","1,971,730","1,161,430","2,538,940"
28.07.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,53.45,48.00,59.00,53.45,53.32,"2,575,000","4,487,500",72,27,3.43,"62,326","213,690","286,003","160,938","243,020",1.74,21,16,"137,633,750",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,633,750",,,,,
27.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.80,48.00,59.00,53.13,52.91,"3,288,500","4,117,500",73,48,3.65,"56,404","205,875","314,841","182,694","287,701",1.25,20,18,"173,632,800",EU,"2,798,400","4,804,800","7,207,200","660,000","5,649,600",,"2,613,600","2,164,800","8,870,400","21,753,600","3,669,600","12,988,800","976,800","3,696,000","1,372,800","16,816,800","26,400","22,440,000",0,"739,200","79,200","501,600","29,172,000","237,600","7,946,400","1,584,000",,"4,488,000","4,831,200","1,927,200","1,135,200","2,481,600"
26.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.79,48.00,60.00,51.91,51.72,"3,288,500","5,401,500",84,37,3.36,"64,304","216,060","329,336","182,694","301,737",1.64,25,18,"170,311,415",EU,"2,744,870","4,712,890","7,069,335","647,375","5,541,530",,"2,563,605","2,123,390","8,700,720","21,337,480","3,599,405","12,740,340","958,115","3,625,300","1,346,540","16,495,115","25,895","22,010,750",0,"725,060","77,685","492,005","28,613,975","233,055","7,794,395","1,553,700",,"4,402,150","4,738,785","1,890,335","1,113,485","2,434,130"
23.07.2021,11:00,Auction 4. Period DE,T3PA,successful,50.13,48.00,56.00,50.34,50.14,"2,651,000","3,792,500",69,38,2.76,"54,964","151,700","194,226","132,550","181,002",1.43,25,20,"132,894,630",DE,,,,,,"132,894,630",,,,,,,,,,,,,,,,,,,,,,,,,,
22.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.44,48.00,54.00,51.51,51.46,"3,288,500","4,444,000",87,45,3.22,"51,080","164,593","246,777","142,978","221,464",1.35,27,23,"169,160,440",EU,"2,726,320","4,681,040","7,021,560","643,000","5,504,080",,"2,546,280","2,109,040","8,641,920","21,193,280","3,575,080","12,654,240","951,640","3,600,800","1,337,440","16,383,640","25,720","21,862,000",0,"720,160","77,160","488,680","28,420,600","231,480","7,741,720","1,543,200",,"4,372,400","4,706,760","1,877,560","1,105,960","2,417,680"
21.07.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,51.70,48.00,58.00,51.65,51.54,"2,575,000","3,943,500",85,31,3.15,"46,394","146,056","203,694","135,526","197,856",1.53,27,19,"133,127,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,127,500",,,,,
20.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,51.74,48.00,58.00,52.13,51.96,"3,288,500","3,526,000",75,63,3.00,"47,013","141,040","208,984","137,021","205,915",1.07,25,24,"170,146,990",EU,"2,742,220","4,708,340","7,062,510","646,750","5,536,180",,"2,561,130","2,121,340","8,692,320","21,316,880","3,595,930","12,728,040","957,190","3,621,800","1,345,240","16,479,190","25,870","21,989,500",0,"724,360","77,610","491,530","28,586,350","232,830","7,786,870","1,552,200",,"4,397,900","4,734,210","1,888,510","1,112,410","2,431,780"
19.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,53.55,52.00,59.00,53.53,53.26,"3,288,500","4,716,500",71,22,2.96,"66,430","196,521","269,462","234,893","252,968",1.43,24,14,"176,099,175",EU,"2,838,150","4,873,050","7,309,575","669,375","5,729,850",,"2,650,725","2,195,550","8,996,400","22,062,600","3,721,725","13,173,300","990,675","3,748,500","1,392,300","17,055,675","26,775","22,758,750",0,"749,700","80,325","508,725","29,586,375","240,975","8,059,275","1,606,500",,"4,551,750","4,899,825","1,954,575","1,151,325","2,516,850"
16.07.2021,11:00,Auction 4. Period DE,T3PA,successful,53.33,49.90,59.00,53.55,53.33,"2,651,000","3,771,500",66,34,2.75,"57,144","157,146","290,593","165,688","301,470",1.42,24,16,"141,377,830",DE,,,,,,"141,377,830",,,,,,,,,,,,,,,,,,,,,,,,,,
15.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.28,48.00,58.00,52.28,52.22,"3,288,500","4,689,000",97,45,3.73,"48,340","180,346","288,926","149,477","233,302",1.43,26,22,"171,922,780",EU,"2,770,840","4,757,480","7,136,220","653,500","5,593,960",,"2,587,860","2,143,480","8,783,040","21,539,360","3,633,460","12,860,880","967,180","3,659,600","1,359,280","16,651,180","26,140","22,219,000",0,"731,920","78,420","496,660","28,884,700","235,260","7,868,140","1,568,400",,"4,443,800","4,783,620","1,908,220","1,124,020","2,457,160"
14.07.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,52.00,48.00,58.00,51.99,51.94,"2,575,000","4,064,500",75,32,3.26,"54,193","176,717","295,879","143,056","239,426",1.58,23,18,"133,900,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,900,000",,,,,
13.07.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,52.44,48.00,58.00,52.25,52.21,"3,288,500","5,136,000",93,33,3.32,"55,226","183,429","305,781","164,425","281,276",1.56,28,20,"172,448,940",EU,"2,779,320","4,772,040","7,158,060","655,500","5,611,080",,"2,595,780","2,150,040","8,809,920","21,605,280","3,644,580","12,900,240","970,140","3,670,800","1,363,440","16,702,140","26,220","22,287,000",0,"734,160","78,660","498,180","28,973,100","235,980","7,892,220","1,573,200",,"4,457,400","4,798,260","1,914,060","1,127,460","2,464,680"
