,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.56,24.00,28.00,25.51,25.42,"2,744,500","5,937,000",100,27,3.70,"59,370","219,889","345,227","171,531","244,529",2.16,27,16,"70,149,420",EU,"1,405,800","2,734,920","3,373,920","191,700","4,830,840",,"1,278,000","1,111,860","3,859,560","9,418,860","1,674,180","5,469,840","549,540","1,750,860","932,940","293,940","9,815,040","12,780","639,000","127,800","319,500","127,800","3,348,360","5,814,900",,"1,955,340","5,751,000","971,280","511,200","1,878,660",
17.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.75,24.00,29.00,26.74,26.56,"2,744,500","5,769,500",94,19,3.48,"61,378","213,685","282,146","228,708","269,015",2.10,27,12,"73,415,375",EU,"1,471,250","2,862,250","3,531,000","200,625","5,055,750",,"1,337,500","1,163,625","4,039,250","9,857,375","1,752,125","5,724,500","575,125","1,832,375","976,375","307,625","10,272,000","13,375","668,750","133,750","334,375","133,750","3,504,250","6,085,625",,"2,046,375","6,018,750","1,016,500","535,000","1,966,125",
16.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.58,24.00,28.00,26.56,26.51,"2,744,500","4,616,500",76,23,3.30,"60,743","200,717","361,290","211,115","305,678",1.68,23,13,"72,948,810",EU,"1,461,900","2,844,060","3,508,560","199,350","5,023,620",,"1,329,000","1,156,230","4,013,580","9,794,730","1,740,990","5,688,120","571,470","1,820,730","970,170","305,670","10,206,720","13,290","664,500","132,900","332,250","132,900","3,481,980","6,046,950",,"2,033,370","5,980,500","1,010,040","531,600","1,953,630",
13.09.2019,11:00,Auction 3. Period DE,T3PA,26.22,22.40,28.00,26.12,26.11,"2,834,500","5,116,000",95,24,4.32,"53,853","232,545","295,807","166,735","197,257",1.80,22,17,"74,320,590",DE,,,,,,"74,320,590",,,,,,,,,,,,,,,,,,,,,,,,,
12.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.55,26.00,28.00,26.52,26.38,"2,744,500","5,089,500",78,20,3.55,"65,250","231,341","271,662","228,708","267,884",1.85,22,12,"72,866,475",EU,"1,460,250","2,840,850","3,504,600","199,125","5,017,950",,"1,327,500","1,154,925","4,009,050","9,783,675","1,739,025","5,681,700","570,825","1,818,675","969,075","305,325","10,195,200","13,275","663,750","132,750","331,875","132,750","3,478,050","6,040,125",,"2,031,075","5,973,750","1,008,900","531,000","1,951,425",
11.09.2019,15:00,EUAA Auction CAP2-EU,EAA3,26.34,25.95,26.59,26.37,26.39,"892,000","1,320,000",36,24,4.50,"36,667","165,000","163,917","127,429","138,949",1.48,8,7,"23,495,280",EU,"500,460","579,480","197,550","302,910","250,230",,"579,480","39,510","1,066,770","3,476,880","447,780","2,594,490","131,700","210,720","460,950","618,990","3,068,610",0,"65,850","52,680","118,530","118,530","790,200","6,018,690",,"618,990","342,420","777,030","26,340","39,510",
11.09.2019,11:01,Auction 3. Period CAP2-PL,T3PA,26.68,24.00,30.01,26.83,26.65,"4,714,500","6,153,500",81,37,4.50,"75,969","341,861","408,493","294,656","397,560",1.31,18,16,"125,782,860",PL,,,,,,,,,,,,,,,,,,,,,,,,,"125,782,860",,,,,,
10.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.50,24.00,29.00,25.54,25.46,"2,744,500","4,993,500",77,32,2.96,"64,851","192,058","308,149","130,690","229,748",1.82,26,21,"69,984,750",EU,"1,402,500","2,728,500","3,366,000","191,250","4,819,500",,"1,275,000","1,109,250","3,850,500","9,396,750","1,670,250","5,457,000","548,250","1,746,750","930,750","293,250","9,792,000","12,750","637,500","127,500","318,750","127,500","3,340,500","5,801,250",,"1,950,750","5,737,500","969,000","510,000","1,874,250",
09.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.01,24.00,29.00,25.10,24.96,"2,744,500","5,471,500",62,24,2.70,"88,250","237,891","320,507","161,441","226,878",1.99,23,17,"68,639,945",EU,"1,375,550","2,676,070","3,301,320","187,575","4,726,890",,"1,250,500","1,087,935","3,776,510","9,216,185","1,638,155","5,352,140","537,715","1,713,185","912,865","287,615","9,603,840","12,505","625,250","125,050","312,625","125,050","3,276,310","5,689,775",,"1,913,265","5,627,250","950,380","500,200","1,838,235",
06.09.2019,11:00,Auction 3. Period DE,T3PA,25.46,23.90,29.00,25.44,25.35,"2,834,500","8,087,500",77,27,3.08,"105,032","323,500","594,334","149,184","263,438",2.85,25,19,"72,166,370",DE,,,,,,"72,166,370",,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.82,24.20,29.00,24.86,24.70,"2,744,500","5,576,500",79,25,3.29,"70,589","232,354","334,150","161,441","255,980",2.03,24,17,"68,118,490",EU,"1,365,100","2,655,740","3,276,240","186,150","4,690,980",,"1,241,000","1,079,670","3,747,820","9,146,170","1,625,710","5,311,480","533,630","1,700,170","905,930","285,430","9,530,880","12,410","620,500","124,100","310,250","124,100","3,251,420","5,646,550",,"1,898,730","5,584,500","943,160","496,400","1,824,270",
02.09.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.40,25.00,27.00,25.47,25.32,"2,744,500","4,761,500",71,24,3.23,"67,063","216,432","254,102","171,531","198,897",1.73,22,16,"69,710,300",EU,"1,397,000","2,717,800","3,352,800","190,500","4,800,600",,"1,270,000","1,104,900","3,835,400","9,359,900","1,663,700","5,435,600","546,100","1,739,900","927,100","292,100","9,753,600","12,700","635,000","127,000","317,500","127,000","3,327,400","5,778,500",,"1,943,100","5,715,000","965,200","508,000","1,866,900",
30.08.2019,11:00,Auction 3. Period DE,T3PA,26.80,23.31,28.00,26.58,26.66,"1,604,500","3,501,000",64,15,2.78,"54,703","152,217","283,218","123,423","203,849",2.18,23,13,"43,000,600",DE,,,,,,"43,000,600",,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.93,23.23,29.00,25.89,25.85,"1,505,500","3,087,000",74,23,3.08,"41,716","128,625","128,767","94,094","87,884",2.05,24,16,"39,037,615",EU,"777,900","1,529,870","1,802,135","168,545","3,280,145",,"557,495","583,425","2,035,505","5,315,650","1,283,535","2,943,055","375,985","1,127,955","401,915","168,545","5,082,280",,"453,775","38,895","298,195","116,685","1,970,680","3,461,655",,"1,011,270","3,137,530","168,545","38,895","907,550",
28.08.2019,11:00,Auction 3. Period CAP2-PL,T3PA,26.00,23.34,29.00,25.94,25.85,"2,214,500","4,482,500",74,20,3.22,"60,574","194,891","289,272","147,633","203,212",2.02,23,15,"57,577,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,"57,577,000",,,,,,
27.08.2019,11:01,Auction 3. Period CAP2-EU,T3PA,25.25,23.39,28.00,25.32,25.18,"1,387,500","2,835,500",73,28,3.04,"38,842","118,146","133,676","77,083","75,740",2.04,24,18,"35,034,375",EU,"681,750","1,338,250","1,666,500","113,625","2,373,500",,"606,000","530,250","1,906,375","4,658,625","820,625","2,701,750","277,750","858,500","454,500","164,125","4,797,500",,"340,875","75,750","164,125","25,250","1,653,875","3,370,875",,"959,500","2,840,625","479,750","227,250","946,875",
23.08.2019,11:00,Auction 3. Period DE,T3PA,25.33,23.42,29.00,25.40,25.34,"1,604,500","2,953,000",76,40,3.45,"38,855","134,227","242,809","89,139","129,355",1.84,22,18,"40,641,985",DE,,,,,,"40,641,985",,,,,,,,,,,,,,,,,,,,,,,,,
22.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.78,23.43,29.00,25.74,25.73,"1,387,500","3,994,500",91,36,3.37,"43,896","147,944","274,234","63,068","75,776",2.88,27,22,"35,769,750",EU,"696,060","1,366,340","1,701,480","116,010","2,423,320",,"618,720","541,380","1,946,390","4,756,410","837,850","2,758,460","283,580","876,520","464,040","167,570","4,898,200",,"348,030","77,340","167,570","25,780","1,688,590","3,441,630",,"979,640","2,900,250","489,820","232,020","966,750",
20.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.94,23.35,29.00,26.70,26.77,"1,387,500","3,437,000",77,18,3.35,"44,636","149,435","250,668","92,500","167,664",2.48,23,15,"37,379,250",EU,"727,380","1,427,820","1,778,040","121,230","2,532,360",,"646,560","565,740","2,033,970","4,970,430","875,550","2,882,580","296,340","915,960","484,920","175,110","5,118,600",,"363,690","80,820","175,110","26,940","1,764,570","3,596,490",,"1,023,720","3,030,750","511,860","242,460","1,010,250",
19.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.25,23.45,29.00,26.11,26.08,"1,387,500","4,065,500",97,20,3.59,"41,912","150,574","242,099","81,618","135,437",2.93,27,17,"36,421,875",EU,"708,750","1,391,250","1,732,500","118,125","2,467,500",,"630,000","551,250","1,981,875","4,843,125","853,125","2,808,750","288,750","892,500","472,500","170,625","4,987,500",,"354,375","78,750","170,625","26,250","1,719,375","3,504,375",,"997,500","2,953,125","498,750","236,250","984,375",
16.08.2019,11:00,Auction 3. Period DE,T3PA,26.12,25.00,29.00,26.13,26.04,"1,604,500","4,579,000",86,28,3.58,"53,244","190,792","361,460","94,382","150,449",2.85,24,17,"41,909,540",DE,,,,,,"41,909,540",,,,,,,,,,,,,,,,,,,,,,,,,
15.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.41,25.00,28.00,26.42,26.38,"1,387,500","2,806,500",69,30,3.45,"40,674","140,325","134,272","86,719","92,907",2.02,20,16,"36,643,875",EU,"713,070","1,399,730","1,743,060","118,845","2,482,540",,"633,840","554,610","1,993,955","4,872,645","858,325","2,825,870","290,510","897,940","475,380","171,665","5,017,900",,"356,535","79,230","171,665","26,410","1,729,855","3,525,735",,"1,003,580","2,971,125","501,790","237,690","990,375",
14.08.2019,11:00,Auction 3. Period CAP2-PL,T3PA,27.15,25.00,30.00,27.13,27.10,"2,214,500","3,709,500",68,25,2.96,"54,551","161,283","165,566","130,265","127,490",1.68,23,17,"60,123,675",PL,,,,,,,,,,,,,,,,,,,,,,,,,"60,123,675",,,,,,
13.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.10,23.59,30.01,26.78,26.76,"1,387,500","3,944,500",92,12,3.29,"42,875","140,875","220,369","115,625","182,492",2.84,28,12,"37,601,250",EU,"731,700","1,436,300","1,788,600","121,950","2,547,400",,"650,400","569,100","2,046,050","4,999,950","880,750","2,899,700","298,100","921,400","487,800","176,150","5,149,000",,"365,850","81,300","176,150","27,100","1,775,050","3,617,850",,"1,029,800","3,048,750","514,900","243,900","1,016,250",
12.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.70,25.00,30.00,27.74,27.69,"1,387,500","4,130,000",83,40,3.77,"49,759","187,727","316,975","73,026","97,827",2.98,22,19,"38,433,750",EU,"747,900","1,468,100","1,828,200","124,650","2,603,800",,"664,800","581,700","2,091,350","5,110,650","900,250","2,963,900","304,700","941,800","498,600","180,050","5,263,000",,"373,950","83,100","180,050","27,700","1,814,350","3,697,950",,"1,052,600","3,116,250","526,300","249,300","1,038,750",
09.08.2019,11:00,Auction 3. Period DE,T3PA,28.37,23.65,30.00,28.21,28.36,"1,604,500","3,705,500",80,39,3.64,"46,319","168,432","292,092","94,382","107,165",2.31,22,17,"45,519,665",DE,,,,,,"45,519,665",,,,,,,,,,,,,,,,,,,,,,,,,
08.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.68,25.00,35.00,28.51,28.50,"1,387,500","4,059,500",80,15,3.33,"50,744","169,146","251,772","99,107","154,503",2.93,24,14,"39,793,500",EU,"774,360","1,520,040","1,892,880","129,060","2,695,920",,"688,320","602,280","2,165,340","5,291,460","932,100","3,068,760","315,480","975,120","516,240","186,420","5,449,200",,"387,180","86,040","186,420","28,680","1,878,540","3,828,780",,"1,089,840","3,226,500","544,920","258,120","1,075,500",
06.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.48,25.00,31.00,28.27,28.27,"1,387,500","4,948,500",99,19,3.67,"49,985","183,278","268,276","77,083","103,651",3.57,27,18,"39,516,000",EU,"768,960","1,509,440","1,879,680","128,160","2,677,120",,"683,520","598,080","2,150,240","5,254,560","925,600","3,047,360","313,280","968,320","512,640","185,120","5,411,200",,"384,480","85,440","185,120","28,480","1,865,440","3,802,080",,"1,082,240","3,204,000","541,120","256,320","1,068,000",
05.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.82,25.00,31.00,28.66,28.69,"1,387,500","3,622,500",81,21,3.68,"44,722","164,659","268,299","81,618","104,082",2.61,22,17,"39,987,750",EU,"778,140","1,527,460","1,902,120","129,690","2,709,080",,"691,680","605,220","2,175,910","5,317,290","936,650","3,083,740","317,020","979,880","518,760","187,330","5,475,800",,"389,070","86,460","187,330","28,820","1,887,710","3,847,470",,"1,095,160","3,242,250","547,580","259,380","1,080,750",
02.08.2019,11:00,Auction 3. Period DE,T3PA,29.10,25.00,30.00,28.92,29.02,"1,604,500","4,604,000",81,27,3.38,"56,840","191,833","347,727","100,281","165,871",2.87,24,16,"46,690,950",DE,,,,,,"46,690,950",,,,,,,,,,,,,,,,,,,,,,,,,
01.08.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.90,25.00,31.00,28.61,28.69,"1,387,500","4,658,500",92,19,3.17,"50,636","160,638","239,441","81,618","81,974",3.36,29,17,"40,098,750",EU,"780,300","1,531,700","1,907,400","130,050","2,716,600",,"693,600","606,900","2,181,950","5,332,050","939,250","3,092,300","317,900","982,600","520,200","187,850","5,491,000",,"390,150","86,700","187,850","28,900","1,892,950","3,858,150",,"1,098,200","3,251,250","549,100","260,100","1,083,750",
31.07.2019,11:00,Auction 3. Period CAP2-PL,T3PA,28.04,25.00,30.00,27.99,27.97,"4,428,500","8,722,500",97,36,4.22,"89,923","379,239","705,591","260,500","486,903",1.97,23,17,"124,175,140",PL,,,,,,,,,,,,,,,,,,,,,,,,,"124,175,140",,,,,,
30.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.18,22.86,30.00,28.02,28.10,"2,775,000","5,881,500",94,31,3.76,"62,569","235,260","415,833","163,235","208,979",2.12,25,17,"78,199,500",EU,"1,521,720","2,987,080","3,719,760","197,260","5,326,020",,"1,366,730","1,197,650","4,269,270","10,384,330","1,831,700","6,030,520","605,870","1,916,240","1,028,570","366,340","10,764,760",0,"704,500","140,900","352,250","126,810","3,691,580","7,524,060",,"2,141,680","6,340,500","1,042,660","549,510","2,071,230",
29.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.80,22.96,31.01,28.65,28.71,"2,775,000","5,290,000",89,30,3.30,"59,438","195,926","273,731","138,750","193,114",1.91,27,20,"79,920,000",EU,"1,555,200","3,052,800","3,801,600","201,600","5,443,200",,"1,396,800","1,224,000","4,363,200","10,612,800","1,872,000","6,163,200","619,200","1,958,400","1,051,200","374,400","11,001,600",0,"720,000","144,000","360,000","129,600","3,772,800","7,689,600",,"2,188,800","6,480,000","1,065,600","561,600","2,116,800",
26.07.2019,11:00,Auction 3. Period DE,T3PA,28.51,23.02,30.00,28.24,28.44,"3,209,000","5,547,000",87,30,3.78,"63,759","241,174","402,616","178,278","283,976",1.73,23,18,"91,488,590",DE,,,,,,"91,488,590",,,,,,,,,,,,,,,,,,,,,,,,,
25.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,29.46,23.04,30.50,29.10,29.42,"2,775,000","6,613,000",83,38,3.46,"79,675","275,542","551,358","154,167","316,524",2.38,24,18,"81,751,500",EU,"1,590,840","3,122,760","3,888,720","206,220","5,567,940",,"1,428,810","1,252,050","4,463,190","10,856,010","1,914,900","6,304,440","633,390","2,003,280","1,075,290","382,980","11,253,720",0,"736,500","147,300","368,250","132,570","3,859,260","7,865,820",,"2,238,960","6,628,500","1,090,020","574,470","2,165,310",
23.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,29.05,23.10,32.00,28.71,28.89,"2,775,000","7,307,000",90,23,3.21,"81,189","260,964","445,168","185,000","252,682",2.63,28,15,"80,613,750",EU,"1,568,700","3,079,300","3,834,600","203,350","5,490,450",,"1,408,925","1,234,625","4,401,075","10,704,925","1,888,250","6,216,700","624,575","1,975,400","1,060,325","377,650","11,097,100",0,"726,250","145,250","363,125","130,725","3,805,550","7,756,350",,"2,207,800","6,536,250","1,074,850","566,475","2,135,175",
22.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.96,24.00,35.00,28.98,29.02,"2,775,000","3,675,500",61,41,3.05,"60,254","183,775","277,491","138,750","210,273",1.32,20,20,"80,364,000",EU,"1,563,840","3,069,760","3,822,720","202,720","5,473,440",,"1,404,560","1,230,800","4,387,440","10,671,760","1,882,400","6,197,440","622,640","1,969,280","1,057,040","376,480","11,062,720",0,"724,000","144,800","362,000","130,320","3,793,760","7,732,320",,"2,200,960","6,516,000","1,071,520","564,720","2,128,560",
19.07.2019,11:00,Auction 3. Period DE,T3PA,28.15,23.04,32.00,27.93,28.00,"3,209,000","6,461,000",92,23,3.68,"70,228","258,440","408,798","200,563","329,157",2.01,25,16,"90,333,350",DE,,,,,,"90,333,350",,,,,,,,,,,,,,,,,,,,,,,,,
18.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.99,23.02,30.00,27.88,27.96,"2,775,000","4,471,500",79,32,3.16,"56,601","178,860","291,922","138,750","232,974",1.61,25,20,"77,672,250",EU,"1,511,460","2,966,940","3,694,680","195,930","5,290,110",,"1,357,515","1,189,575","4,240,485","10,314,315","1,819,350","5,989,860","601,785","1,903,320","1,021,635","363,870","10,692,180",0,"699,750","139,950","349,875","125,955","3,666,690","7,473,330",,"2,127,240","6,297,750","1,035,630","545,805","2,057,265",
17.07.2019,15:00,EUAA Auction CAP2-EU,EAA3,28.37,28.14,28.80,28.41,28.40,"892,000","1,512,000",24,14,3.43,"63,000","216,000","141,690","148,667","78,754",1.70,7,6,"25,306,040",EU,"539,030","624,140","212,775","326,255","269,515",,"624,140","42,555","1,148,985","3,744,840","482,290","2,794,445","141,850","226,960","496,475","666,695","3,305,105",0,"70,925","56,740","127,665","127,665","851,100","6,482,545",,"666,695","368,810","836,915","28,370","42,555",
17.07.2019,11:00,Auction 3. Period CAP2-PL,T3PA,27.97,23.02,30.00,27.92,28.03,"4,428,500","5,934,000",90,58,3.33,"65,933","219,778","351,108","177,140","255,880",1.34,27,25,"123,865,145",PL,,,,,,,,,,,,,,,,,,,,,,,,,"123,865,145",,,,,,
16.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,29.10,23.02,31.00,28.91,29.12,"2,775,000","4,029,500",69,38,2.76,"58,399","161,180","213,137","138,750","205,720",1.45,25,20,"80,752,500",EU,"1,571,400","3,084,600","3,841,200","203,700","5,499,900",,"1,411,350","1,236,750","4,408,650","10,723,350","1,891,500","6,227,400","625,650","1,978,800","1,062,150","378,300","11,116,200",0,"727,500","145,500","363,750","130,950","3,812,100","7,769,700",,"2,211,600","6,547,500","1,076,700","567,450","2,138,850",
15.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,29.15,22.99,30.01,28.77,28.95,"2,775,500","5,191,500",77,18,3.08,"67,422","207,660","249,582","173,469","260,659",1.87,25,16,"80,905,825",EU,"1,574,100","3,089,900","3,847,800","204,050","5,509,350",,"1,413,775","1,238,875","4,416,225","10,741,775","1,894,750","6,238,100","626,725","1,982,200","1,063,975","378,950","11,135,300","14,575","728,750","145,750","364,375","131,175","3,818,650","7,783,050",,"2,215,400","6,558,750","1,078,550","568,425","2,142,525",
12.07.2019,11:00,Auction 3. Period DE,T3PA,28.25,22.99,32.00,28.01,28.11,"3,209,000","8,064,500",77,26,3.08,"104,734","322,580","683,644","178,278","256,550",2.51,25,18,"90,654,250",DE,,,,,,"90,654,250",,,,,,,,,,,,,,,,,,,,,,,,,
11.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,28.50,22.99,32.00,28.31,28.32,"2,775,500","8,744,500",97,29,3.59,"90,149","323,870","578,961","163,265","215,970",3.15,27,17,"79,101,750",EU,"1,539,000","3,021,000","3,762,000","199,500","5,386,500",,"1,382,250","1,211,250","4,317,750","10,502,250","1,852,500","6,099,000","612,750","1,938,000","1,040,250","370,500","10,887,000","14,250","712,500","142,500","356,250","128,250","3,733,500","7,609,500",,"2,166,000","6,412,500","1,054,500","555,750","2,094,750",
09.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.68,23.04,29.00,26.59,26.56,"2,775,500","7,321,500",82,22,3.04,"89,287","271,167","578,095","173,469","218,879",2.64,27,16,"74,050,340",EU,"1,440,720","2,828,080","3,521,760","186,760","5,042,520",,"1,293,980","1,133,900","4,042,020","9,831,580","1,734,200","5,709,520","573,620","1,814,240","973,820","346,840","10,191,760","13,340","667,000","133,400","333,500","120,060","3,495,080","7,123,560",,"2,027,680","6,003,000","987,160","520,260","1,960,980",
08.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.60,23.07,29.00,26.63,26.52,"2,775,500","5,459,500",75,28,3.13,"72,793","227,479","340,135","173,469","243,555",1.97,24,16,"73,828,300",EU,"1,436,400","2,819,600","3,511,200","186,200","5,027,400",,"1,290,100","1,130,500","4,029,900","9,802,100","1,729,000","5,692,400","571,900","1,808,800","970,900","345,800","10,161,200","13,300","665,000","133,000","332,500","119,700","3,484,600","7,102,200",,"2,021,600","5,985,000","984,200","518,700","1,955,100",
05.07.2019,11:00,Auction 3. Period DE,T3PA,25.84,23.15,29.40,26.01,25.73,"3,209,000","7,334,500",86,32,3.74,"85,285","318,891","627,325","200,563","260,675",2.29,23,16,"82,920,560",DE,,,,,,"82,920,560",,,,,,,,,,,,,,,,,,,,,,,,,
04.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.22,23.15,30.00,26.44,26.25,"3,470,500","7,123,500",86,49,3.44,"82,831","284,940","587,821","165,262","269,546",2.05,25,21,"90,996,510",EU,"1,769,850","3,474,150","4,326,300","249,090","6,174,810",,"1,599,420","1,402,770","4,955,580","12,087,420","2,150,040","7,013,850","694,830","2,228,700","1,206,120","406,410","12,520,050","26,220","839,040","144,210","419,520","157,320","4,313,190","8,731,260",,"2,490,900","7,394,040","1,193,010","629,280","2,399,130",
03.07.2019,11:00,Auction 3. Period CAP2-PL,T3PA,26.33,23.12,29.50,26.57,26.49,"4,428,500","7,821,500",83,67,3.77,"94,235","355,523","766,040","246,028","351,102",1.77,22,18,"116,602,405",PL,,,,,,,,,,,,,,,,,,,,,,,,,"116,602,405",,,,,,
02.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.22,23.12,29.90,27.09,27.01,"3,469,000","8,486,500",101,22,3.88,"84,025","326,404","560,676","266,846","302,213",2.45,26,13,"94,426,180",EU,"1,837,350","3,606,650","4,491,300","231,370","6,437,530",,"1,646,810","1,442,660","5,158,190","12,534,810","2,204,820","7,281,350","734,940","2,313,700","1,238,510","449,130","12,997,550","13,610","843,820","176,930","421,910","149,710","4,450,470","9,091,480",,"2,585,900","7,648,820","1,265,730","666,890","2,504,240",
01.07.2019,11:00,Auction 3. Period CAP2-EU,T3PA,26.72,23.12,29.50,26.80,26.72,"3,469,000","7,253,500",93,46,4.43,"77,995","345,405","625,773","204,059","266,479",2.09,21,17,"92,691,680",EU,"1,803,600","3,540,400","4,408,800","227,120","6,319,280",,"1,616,560","1,416,160","5,063,440","12,304,560","2,164,320","7,147,600","721,440","2,271,200","1,215,760","440,880","12,758,800","13,360","828,320","173,680","414,160","146,960","4,368,720","8,924,480",,"2,538,400","7,508,320","1,242,480","654,640","2,458,240",
28.06.2019,11:00,Auction 3. Period DE,T3PA,26.40,25.90,29.00,26.40,26.32,"3,209,000","7,318,000",63,22,4.20,"116,159","487,867","734,040","246,846","267,962",2.28,15,13,"84,717,600",DE,,,,,,"84,717,600",,,,,,,,,,,,,,,,,,,,,,,,,
27.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,27.10,24.00,29.00,27.10,27.02,"3,469,000","8,037,500",72,28,3.79,"111,632","423,026","849,796","216,813","397,079",2.32,19,16,"94,009,900",EU,"1,829,250","3,590,750","4,471,500","230,350","6,409,150",,"1,639,550","1,436,300","5,135,450","12,479,550","2,195,100","7,249,250","731,700","2,303,500","1,233,050","447,150","12,940,250","13,550","840,100","176,150","420,050","149,050","4,430,850","9,051,400",,"2,574,500","7,615,100","1,260,150","663,950","2,493,200",
24.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,25.64,24.25,27.00,25.61,25.57,"2,775,500","4,500,000",60,22,3.16,"75,000","236,842","385,115","252,318","394,856",1.62,19,11,"71,163,820",EU,"1,384,560","2,717,840","3,384,480","179,480","4,845,960",,"1,243,540","1,089,700","3,884,460","9,448,340","1,666,600","5,486,960","551,260","1,743,520","935,860","333,320","9,794,480","12,820","641,000","128,200","320,500","115,380","3,358,840","6,845,880",,"1,948,640","5,769,000","948,680","499,980","1,884,540",
21.06.2019,11:00,Auction 3. Period DE,T3PA,24.87,24.00,28.00,24.93,24.80,"3,209,000","5,400,500",76,28,3.62,"71,059","257,167","402,285","200,563","275,183",1.68,21,16,"79,807,830",DE,,,,,,"79,807,830",,,,,,,,,,,,,,,,,,,,,,,,,
20.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.86,23.76,27.00,24.82,24.78,"2,775,500","5,346,500",69,24,3.29,"77,486","254,595","337,996","163,265","206,271",1.93,21,17,"68,998,930",EU,"1,342,440","2,635,160","3,281,520","174,020","4,698,540",,"1,205,710","1,056,550","3,766,290","9,160,910","1,615,900","5,320,040","534,490","1,690,480","907,390","323,180","9,496,520","12,430","621,500","124,300","310,750","111,870","3,256,660","6,637,620",,"1,889,360","5,593,500","919,820","484,770","1,827,210",
19.06.2019,11:00,Auction 3. Period CAP2-PL,T3PA,24.98,24.00,28.00,25.02,24.93,"4,428,500","7,328,000",84,36,3.36,"87,238","293,120","420,300","246,028","337,422",1.65,25,18,"110,623,930",PL,,,,,,,,,,,,,,,,,,,,,,,,,"110,623,930",,,,,,
18.06.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.98,24.55,29.00,25.00,24.85,"2,775,500","5,587,000",79,22,3.16,"70,722","223,480","296,213","163,265","208,056",2.01,25,17,"69,331,990",EU,"1,348,920","2,647,880","3,297,360","174,860","4,721,220",,"1,211,530","1,061,650","3,784,470","9,205,130","1,623,700","5,345,720","537,070","1,698,640","911,770","324,740","9,542,360","12,490","624,500","124,900","312,250","112,410","3,272,380","6,669,660",,"1,898,480","5,620,500","924,260","487,110","1,836,030",
17.06.2019,11:01,Auction 3. Period CAP2-EU,T3PA,24.78,24.00,29.00,24.87,24.75,"2,775,500","4,214,000",71,30,2.84,"59,352","168,560","266,083","146,079","236,704",1.52,25,19,"68,776,890",EU,"1,338,120","2,626,680","3,270,960","173,460","4,683,420",,"1,201,830","1,053,150","3,754,170","9,131,430","1,610,700","5,302,920","532,770","1,685,040","904,470","322,140","9,465,960","12,390","619,500","123,900","309,750","111,510","3,246,180","6,616,260",,"1,883,280","5,575,500","916,860","483,210","1,821,330",
14.06.2019,11:00,Auction 3. Period DE,T3PA,24.67,24.00,29.00,24.84,24.67,"3,209,000","4,763,500",85,43,3.40,"56,041","190,540","275,316","160,450","258,942",1.48,25,20,"79,166,030",DE,,,,,,"79,166,030",,,,,,,,,,,,,,,,,,,,,,,,,
